loan_id,borrower_name,sector,region,exposure_xaf,dscr,ltv,dti,par90_flag,months_overdue,covenant_dscr_breach,covenant_ltv_breach,disbursement_date,maturity_date,loan_officer
AFB-10021,Enterprise AFB-10021,Manufacturing,Maroua,33263000.0,1.05,0.39,0.55,True,3,True,False,2023-01-30,2024-05-11,Officer-08
AFB-10022,Enterprise AFB-10022,Retail Trade,Maroua,8293000.0,1.04,0.71,0.52,True,1,True,False,2023-10-19,2026-03-06,Officer-01
AFB-10023,Enterprise AFB-10023,Manufacturing,Garoua,33040000.0,1.55,0.75,0.32,False,0,False,False,2023-05-16,2026-08-03,Officer-03
AFB-10024,Enterprise AFB-10024,Manufacturing,Bafoussam,23133000.0,1.26,0.72,0.46,False,0,False,False,2023-02-21,2024-07-20,Officer-04
AFB-10025,Enterprise AFB-10025,Retail Trade,Douala,46696000.0,1.67,0.44,0.61,False,0,False,False,2023-12-27,2026-09-06,Officer-01
AFB-10026,Enterprise AFB-10026,Manufacturing,Maroua,15319000.0,1.4,0.42,0.21,False,0,False,False,2023-10-11,2025-08-24,Officer-05
AFB-10027,Enterprise AFB-10027,Agriculture,Douala,36022000.0,1.55,0.64,0.65,False,0,False,False,2023-01-27,2024-08-03,Officer-07
AFB-10028,Enterprise AFB-10028,Health Services,Yaoundé,676000.0,1.55,0.79,0.45,False,0,False,False,2023-08-07,2027-09-28,Officer-01
AFB-10029,Enterprise AFB-10029,Agriculture,Douala,27507000.0,1.42,0.43,0.32,False,0,False,False,2023-01-21,2026-01-22,Officer-04
AFB-10030,Enterprise AFB-10030,Manufacturing,Yaoundé,18007000.0,2.37,0.8,0.66,False,0,False,False,2023-05-02,2025-03-29,Officer-03
AFB-10031,Enterprise AFB-10031,Health Services,Yaoundé,9378000.0,1.72,0.75,0.55,False,0,False,False,2023-05-08,2025-11-04,Officer-03
AFB-10032,Enterprise AFB-10032,Transport,Yaoundé,19436000.0,0.78,0.47,0.66,True,3,True,False,2023-06-06,2025-09-14,Officer-04
AFB-10033,Enterprise AFB-10033,Agriculture,Douala,20224000.0,1.19,0.56,0.43,False,0,True,False,2023-12-14,2027-12-16,Officer-06
AFB-10034,Enterprise AFB-10034,Construction,Yaoundé,43913000.0,2.38,0.37,0.48,False,0,False,False,2023-06-26,2026-03-29,Officer-07
AFB-10035,Enterprise AFB-10035,Manufacturing,Maroua,6224000.0,1.01,0.61,0.44,False,0,True,False,2023-12-18,2028-09-20,Officer-04
AFB-10036,Enterprise AFB-10036,Retail Trade,Yaoundé,47469000.0,2.01,0.42,0.65,False,0,False,False,2023-09-17,2026-06-11,Officer-07
AFB-10037,Enterprise AFB-10037,Retail Trade,Bafoussam,27943000.0,1.69,0.8,0.25,False,0,False,False,2023-10-19,2026-06-26,Officer-07
AFB-10038,Enterprise AFB-10038,Retail Trade,Yaoundé,15542000.0,1.95,0.54,0.39,False,0,False,False,2023-12-12,2026-02-21,Officer-08
AFB-10039,Enterprise AFB-10039,Transport,Douala,33113000.0,1.96,0.41,0.67,False,0,False,False,2023-05-01,2028-02-06,Officer-05
AFB-10040,Enterprise AFB-10040,Agriculture,Douala,7794000.0,0.98,0.72,0.57,True,4,True,False,2023-08-01,2028-02-10,Officer-04
AFB-10041,Enterprise AFB-10041,Transport,Garoua,24972000.0,1.26,0.8,0.57,False,0,False,False,2023-02-24,2026-07-13,Officer-04
AFB-10042,Enterprise AFB-10042,Agriculture,Maroua,23495000.0,1.39,0.43,0.41,False,0,False,False,2023-09-29,2027-11-16,Officer-06
AFB-10043,Enterprise AFB-10043,Construction,Garoua,30826000.0,2.21,0.68,0.64,False,0,False,False,2023-09-01,2027-03-10,Officer-05
AFB-10044,Enterprise AFB-10044,Transport,Bafoussam,38408000.0,1.57,0.4,0.31,False,0,False,False,2023-05-20,2026-04-06,Officer-06
AFB-10045,Enterprise AFB-10045,Health Services,Yaoundé,7350000.0,2.06,0.39,0.37,False,0,False,False,2023-10-05,2027-05-16,Officer-07
AFB-10046,Enterprise AFB-10046,Agriculture,Garoua,19779000.0,1.27,0.88,0.47,False,0,False,True,2023-09-02,2024-09-13,Officer-06
AFB-10047,Enterprise AFB-10047,Agriculture,Garoua,42746000.0,2.11,0.68,0.48,False,0,False,False,2023-04-23,2027-01-16,Officer-04
AFB-10048,Enterprise AFB-10048,Agriculture,Garoua,1937000.0,1.71,0.45,0.41,False,0,False,False,2023-03-07,2027-09-01,Officer-01
AFB-10049,Enterprise AFB-10049,Construction,Maroua,28437000.0,0.85,0.43,0.4,True,1,True,False,2023-05-14,2026-06-28,Officer-06
